Conversation	Speaker	Transcript
Spoken 2	User	Okay . Um , and so would plain be like a pizza with <quant> no </quant> toppings , or would it be the <pizza_type> four cheese </pizza_type> in the specialty pizzas , cuz both of those , are those both just <pizza_type> cheese </pizza_type> or is <numeric> four </numeric> <pizza_type> cheese </pizza_type> , um
Spoken 2	Clerk	Extra cheese .
Spoken 2	User	Okay . Extra cheese on that one . Um , and also we have somebody who 's allergic to dairy . It 's just one person , but I wan na
Spoken 2	Clerk	[ interrupt ] It 's allergy ? Sorry , what was the allergy ? You said allergy ? That 's important I have to go get a form . Hold on . Okay . Okay . What are the allergies ?
Spoken 2	User	Dairy , so they ca n't have any pizza with <pizza_type> cheese </pizza_type> . I was wondering if you have any just , like , red pizza without cheese for them ?
Spoken 2	Clerk	We have a vegan pizza .
Spoken 2	User	Okay . So , so then that one does n't have any cheese right ?
Spoken 2	Clerk	No , that 's what vegan is .
Spoken 2	User	Okay , so I 'm gon na have to get at least one of those
Spoken 2	Clerk	Anything else ?
Spoken 2	User	Yes . So how many , how many did you say I would need again six or seven ?
Spoken 2	Clerk	Yeah .
Spoken 2	User	Okay , this is okay so you have <quant> six </quant> specialty pizzas , but that was not the most popular . The most popular are just plain . So I think I 'm going to get <quant> one </quant> <pizza_type> vegan </pizza_type> , <quant> two </quant> <pizza_type> pepperoni </pizza_type> , um ... hmm , I do n't know . Should I get a plain pizza with <topping> pineapple </topping> , or should I get the Hawaiian pizza ? It 's , it 's just so hard to know what what 's gon na work for <quant> 50 </quant> people
Spoken 2	User	Um no , I 'll go with the Hawaiian people know what that is . So , you know , hopefully there will be some people who like that .
Spoken 2	Clerk	Conversation starter .
Spoken 2	User	Yeah . Yeah , true . Um , but how many am I at right now like four ? Yeah , I think I 'm at four right ?
Spoken 2	Clerk	The Hawaiian , the vegan , those are the <quant> two </quant> I remember , I'm- I know you have Hawaiian and vegan .
Spoken 2	User	Okay , I think , I think I had <quant> two </quant> <pizza_type> pepperoni </pizza_type> as well . So I 'm gon na need more . What 's your favorite pizza here ?
Spoken 2	Clerk	Ooh , um , I mean , personally , I love the meat lovers , um , but with <topping> extra cheese </topping> . Um , but that 's just me . Um , uh , let 's see . Yeah , but I think , yeah , that 's my favorite . If you want to go for that and just , you got to know your audience , I guess , Or at least one of them . Yeah .
Spoken 2	User	Okay , so yeah , to have a vegan pizza meat lovers pizza would probably be a good idea too , um , what are the meats on that pizza ?
Spoken 2	Clerk	Gosh , um its <pizza_type> pepperoni </pizza_type> , <topping> ham </topping> , <topping> bacon </topping> and <topping> sausage </topping> .
Spoken 2	User	Okay , okay that's- that should work . Um , there 's something for everybody there , right ?
Spoken 2	Clerk	Yeah .
Spoken 2	User	Okay . Um , and then ... hmm . I have , hmm ... two left to get to seven so I think I 'll get some more pizzas that are n't specialty that are just toppings .
Spoken 2	User	So I see some of your toppings cost more than others . Some are <cost> two dollars </cost> and some are a dollar fifty . Do you think it 's worth it to get kind of like the premium toppings ? Or I guess the , I guess the dollar fifty toppings are just <pizza_type> cheese </pizza_type> . So I guess I will have to spend that extra fifty cents for toppings wo n't I ? .
Spoken 2	Clerk	Yeah , yeah , it 's just I do n't know on , you know the other toppings are just , you know , more expensive . I do n't make the prices but
Spoken 2	User	Yeah um , they 're not necessarily better . Oh wow , the-the meat the <topping_type> meat </topping_type> toppings are even more expensive and wow okay so this is going to get expensive with <quant> seven </quant> pizzas , um , hmm .
Spoken 2	User	Cuz I 've just been like calling different restaurants comparing prices yours look like you have the best pizzas , so I think I 'm going to place an order with you , but I wan na kind of minimize the price . So I 'm gon na go for just the toppings that are <cost> two dollars </cost> um
Spoken 2	User	So those are <topping> pineapple </topping> , <topping> green peppers </topping> , <topping> red onions </topping> , <topping> mushrooms </topping> and <topping> black olives </topping> . Right ? So I want them ( Mmm ) <quant> two </quant> pizzas that just have all of those things on it .
Spoken 2	Clerk	All those ?
Spoken 2	User	Mm hmm .
Spoken 2	Clerk	You sure ?
Spoken 2	User	Mhm .
Spoken 2	Clerk	Okay . Anything else ?
Spoken 2	User	I 'm gon na need some sides . Also the pizza crust . Should-What , what , what do you think is the best ? Thin , regular , deep-dish or just like all combinations of all of them ?
Spoken 2	Clerk	I mean , I personally like thin and regular . Um , but , um , for a big party maybe regular .
Spoken 2	User	Okay . Yeah that 's a probably good idea , the- all the combinations . Those would get so confusing , and regular is-is much cheaper than <crust> deep dish </crust> so ( oh yeah )
Spoken 2	User	Yeah , I 'm going to go for <crust> regular </crust>
Spoken 2	User	And and the sides has to be large . ( okay )
Spoken 2	User	Okay , the sides , I will get <quant> two </quant> orders of each of the sides .
Spoken 2	Clerk	What else would you like ?
Spoken 2	User	Um
Spoken 2	User	I think I 'll also get <quant> three </quant> <beverage> colas </beverage> and <quant> two </quant> <beverage> orange sodas </beverage> .
Spoken 2	Clerk	And is this . So we have a size limit um for <modality> delivery </modality> . Once it gets this big it 's goes to catering , um , to- so- um , and there 's like a fee for catering , so do you want to go that way or just <modality> pick up </modality>
Spoken 2	User	I , I think I should <modality> pick up </modality> because is it- is this okay this is actually for-for Friday , which is like five or six days from now . Um , but I just wanted to call ahead and make sure this was all , you know I could that I could afford it for this party and that it um , that I would like the pizzas .
Spoken 2	Clerk	Friday 's fine . Yeah . Friday works
Spoken 2	User	[ overlapping ] Okay , I can- I can pick it up on Friday .
Spoken 2	Clerk	Uh what time
Spoken 2	User	Um , I think bout 3pm .
Spoken 2	Clerk	Alright , um , orders this size we need a deposit , um , at least like
Spoken 2	User	Twenty-five percent , um , unless you pay ahead of time .
Spoken 2	User	Like I can pay right now .
Spoken 2	Clerk	Okay , cool . Uh gim me one second , let me get uh the register . Okay . Your total is um , fifty-five forty-seven . Um and then when you 're ready , I just need the card information .
Spoken 2	User	Okay . So the card is mycard numbers one-two-three-four-five and the expiration is the end of the year .
Spoken 2	Clerk	Okay . You 're all set . Kay ?
Spoken 2	User	Perfect . So I can come <modality> pick this up </modality> <time> 3 pm Friday </time> .
Spoken 2	Clerk	See you then .
Spoken 2	User	Okay , Thank you .
Spoken 2	Clerk	Bye .
Spoken 3	Clerk	Hi this is Tony 's Pizza . I 'm Emily I 'm a new employee today and I'm-I 'm an employee in training , how can i help you ?
Spoken 3	User	Employee in training I love that oh that 's so good for you okay I 'll go easy on you today . Um I need a <size> large </size> <pizza_type> pepperoni </pizza_type> pizza uh I usually go with <crust> thin </crust> but like uh but deep dish but I-I could change it up no lets go with <crust> regular </crust> go with <crust> regular </crust> . Um uh <address> 2 cheese sticks 4 oranges and </address>
Spoken 3	Clerk	Right Hold on hold on hold on what was what was the pizza sorry I 'm just I 'm just new to writing these orders down ( ah right ) and I 'm keeping up today sorry
Spoken 3	User	Alright no worries . Um was a oh gosh large -- not <pizza_type> 4 cheese </pizza_type> -- <pizza_type> pepperoni </pizza_type> ! <pizza_type> Large pepperoni </pizza_type> is our usual
Spoken 3	Clerk	Okay okay . Um then so what else you said you wanted 4 oranges is that soda ?
Spoken 3	User	Yeah , yeah the the the orange soda um
Spoken 3	Clerk	Okay okay
Spoken 3	Clerk	And then cheese sticks um that 's what you said right not bread sticks ?
Spoken 3	User	Oh you know what ? Jeremy 's gon na want bread sticks um , get em for Jeremy . <address> Um 1 of bread sticks eh 2 bread sticks 2 cheese sticks </address>
Spoken 3	Clerk	Okay and so bread sticks are 7 dollars um I , I heard that earlier today but I just do n't remember how much the <pizza_type> cheese </pizza_type> sticks cost do you remember ?
Spoken 3	User	Uhhh they 're usually ... they 're a little more they 're <numeric> 9 </numeric>
Spoken 3	Clerk	Okay okay so so 7 , 7 , 9 and 9 , that 's gon na be , hold on I 'm new to math I this is my first job ever I 'm so sorry
Spoken 3	User	Awwwwww take your time
Spoken 3	Clerk	Um thank you so much . Okay um I think that 's gon na be 32 dollars do you know if that 's right ? ( uhhhh ) That 's just that 's just for the sides um so that 's not even the pizza ( uh so that 's ) so I just wan na confirm
Spoken 3	User	Uh that 's 4 sodas so thats <numeric> 14 </numeric>
Spoken 3	Clerk	[ interrupt ] no i yeah I that was just the sides ( and then ) I did n't write down the sodas yet I 'm sorry
Spoken 3	User	2 bread and <address> 2 cheese so thats 14 and 18 uhhh lem </address> me get my calculator it 's been a long time for math me too
Spoken 3	Clerk	Yeah sorry the register 's just broken today and it 's my first day I just I just
Spoken 3	User	Oh you poor dear oh no okay 14 uhh it 's about 40 . Yeah it 's like 40 dollars
Spoken 3	Clerk	But and for the for the sides ? Or is that the drinks and the pizzas too ?
Spoken 3	User	That 's the sides and the drinks .
Spoken 3	Clerk	Okay and that was 4 orange sodas , right ?
Spoken 3	User	Yeah [ <address> 5 second pause ] </address>
Spoken 3	User	Hello ?
Spoken 3	Clerk	Yeah ?
Spoken 3	User	Oh okay sorry thought I lost you
Spoken 3	Clerk	That was that was 4 orange orange sodas , right ?
Spoken 3	User	Yeah
Spoken 3	Clerk	Okay okay . And and how much -- do you know how much those cost ?
Spoken 3	User	Uh usually get <quant> two </quant> and its 7 so whatever that works out to be
Spoken 3	Clerk	Okay so then so then 4 would be 14 right ? ( mhm ) Earlier earlier I 'm pretty sure the sides are 32 dollars and and the orange sodas if it 's if it 's four-fourteen for 4 of them that had to be more than 40 dollars right ?
Spoken 3	User	Well so Tony -- we 're longtime customers we have been coming to Tony 's Pizzeria for like 20 years um like our family and Tony 's family goes way back he usually takes off a little bit you know we 're valued customers um if you , you know , told Tony the next time you see him â€śoh Marsha orderedâ€ť â€śoh Marsha he knows Marshaâ€ť all about , you know he talks all about me so he usually takes a little bit off you know family discount kinda thing . ( okay I 'll ask him about it ) we 're like family . We 're like family .
Spoken 3	Clerk	Are you guys family or ?
Spoken 3	User	We 're friends of family you know .
Spoken 3	Clerk	Okay okay That 's really cool . How long have you known Tony ?
Spoken 3	User	Oh gosh i mean we were growing up as kids together we went to the same high school , I mean , you know , so long . 20-30 years at least
Spoken 3	Clerk	Yeah yeah I 'm just so glad tony offered me a job I-I mean he did n't even make me interview I 've been coming here a long time too but I-I just do n't have I only have my order memorized you know ? So I do n't know I do n't know ( Fair ) the prices I 'm sorry that 's just why it 's been so difficult today
Spoken 3	User	Do n't worry friends of Tony 's a friend of mine
Spoken 3	Clerk	Okay , yeah I feel the same way okay and then I st- oh gosh still have n't even um gotten your pizza yet . You wanted <pizza_type> pepperoni </pizza_type> and was that deep dish or regular ?
Spoken 3	User	Regular
Spoken 3	Clerk	Okay um , so then that should be d-did you want a <size> large </size> , or medium or small ?
Spoken 3	User	Large
Spoken 3	Clerk	Okay and you know that 's 14 inches .
Spoken 3	User	Mhm
Spoken 3	Clerk	Okay so that should be 14 dollars . And then in addition to the-the 40 dollars that should be your total order is <numeric> 54 dollars </numeric>
Spoken 3	User	Right
Spoken 3	Clerk	Okay and do you wan na pick that up or have it delivers for <quant> 3 </quant> <beverage> dollars </beverage>
Spoken 3	User	We 'll <modality> pick it up </modality>
Spoken 3	Clerk	Okay um do you wan na pay for it now or later ?
Spoken 3	User	I 'll pay for it once i come in ( okay okay ) get to meet the new employee
Spoken 3	Clerk	Yeah yeah I 'm excited to meet you too
Spoken 3	User	Great well see you then !
Spoken 3	Clerk	Alright bye
Spoken 3	User	Bye
Spoken 4	User	Ring ring ring
Spoken 4	Clerk	Hi ! Tony 's Pizza , how can I help you today ?
Spoken 4	User	Uh , I need four pizzas , uh , first one uh Hawaiian , <topping> pepperoni </topping> uh , mushroom , <topping> ham </topping> , <topping> sausage </topping> , deep dish , and a <size> large </size> . Um , and then the next two , uh , <pizza_type> pepperoni </pizza_type> , uh , extra <topping> provolone </topping> , both thin , medium , uh , uh , and throw on some , some <topping> mushrooms </topping> too . Uh , last one is , uh , gluten-free vegan , uh , we got a big allergy person here , uh , make that a <size> small </size> .
Spoken 4	Clerk	Sides ?
Spoken 4	User	Uh , it 's <numeric> three </numeric> breadsticks , uh , one cheese stick and a Caesar salad .
Spoken 4	Clerk	Drinks ?
Spoken 4	User	Uh , what do they want , uh , I could go with cola , uh , what 's , what 's , what 's your favorite ?
Spoken 4	Clerk	uh , orange soda .
Spoken 4	User	uh , I do n't think , I do n't think Julia really likes orange , so uh , uh is there , is there a special if I ordered , if I ordered two sodas ?
Spoken 4	Clerk	No .
Spoken 4	User	I do n't get like a , you know one for the price of , you know , buy two get one , nothing 's been , uh , nothing 's going on ?
Spoken 4	Clerk	Mmm mmm .
Spoken 4	User	uh , well what 's the size of the soda ?
Spoken 4	Clerk	Uh , it 's one soda , it 's in like a bottle , so
Spoken 4	User	I would imagine it 's in a bottle . Uh , big bottle , small bottle ?
Spoken 4	Clerk	Like a <size> large </size> <pizza_type> bottle </pizza_type> , a <size> large </size> <pizza_type> bottle </pizza_type> , so it can , it can serve , I do n't know , depending on how much you wan na drink , it 's like , honestly
Spoken 4	User	Like a two liter soda ?
Spoken 4	Clerk	yeah
Spoken 4	User	Not a <size> small </size> soda from a vending machine ?
Spoken 4	Clerk	Yeah , yeah , I would describe it as a liter .
Spoken 4	User	Ah . Uh , just one then .
Spoken 4	Clerk	Okay . Okay . Um , kay , so do you want that delivered , picked up ?
Spoken 4	User	How fast is the delivery ?
Spoken 4	Clerk	Uh , we , we try for , for under thirty minutes , but sometimes it goes over .
Spoken 4	User	Is it free if it gets past ?
Spoken 4	Clerk	No .
Spoken 4	User	Hmm . Hmm . Who delivers it ?
Spoken 4	Clerk	Um , just one of our delivery people .
Spoken 4	User	Oh it 's like , it 's not , you know , post mates or door or door dash or nothing ?
Spoken 4	Clerk	No
Spoken 4	User	Okay , uh , do I have to pay now ?
Spoken 4	Clerk	You can pay now or when they deliver it .
Spoken 4	User	How about pickup , same thing ? or
Spoken 4	Clerk	Yeah , um , yeah , yeah .
Spoken 4	User	Um , uh , I 'll , I 'll <modality> pick up </modality> and I 'll , I 'll pay now .
Spoken 4	Clerk	Okay , okay , what 's your name ?
Spoken 4	User	Oh , let me get my a , my credit card . Hold on . Okay , uh , uh , oh crap what 's the name , uh Lisa Everman
Spoken 4	Clerk	Lisa Erman ?
Spoken 4	User	Everman
Spoken 4	Clerk	Alverman ?
Spoken 4	User	Everman
Spoken 4	Clerk	Alverman ?
Spoken 4	User	E-V-E-R-M-A-N
Spoken 4	Clerk	And , uh , card number ?
Spoken 4	User	12345 . It 's a mycard .
Spoken 4	Clerk	Wha , Okay , um , address ?
Spoken 4	User	Address , why do you need to know my address ?
Spoken 4	Clerk	Sometimes it just asks for that .
Spoken 4	User	Oh
Spoken 4	Clerk	The system
Spoken 4	User	Um , alright , as long as you 're not stealing my identity , um , 123 Elm Street .
Spoken 4	Clerk	Um
Spoken 4	User	Uh , <numeric> 12345 </numeric>
Spoken 4	Clerk	Wha , What was the end of the , what was the expiration date ?
Spoken 4	User	Uh , end of year .
Spoken 4	Clerk	Your order , uh , you 're , you 're picking it up ?
Spoken 4	User	Yes , ma'am , my daughter , if that 's alright .
Spoken 4	Clerk	Yeah , yeah , it should be ready in roughly thirty minutes .
Spoken 4	User	Roughly thirty minutes , alright . Thanks .
Spoken 4	Clerk	Bye .
Spoken 5	User	Ring ring ring
Spoken 5	Clerk	Hi , you 've reached Tony 's Authentic Italian Pizzeria . How may I help you today ?
Spoken 5	User	Uh , hey , I need <quant> three </quant> pizzas for Friday .
Spoken 5	Clerk	What , do you know what kind of pizzas you would like ?
Spoken 5	User	Uh , um , there 's uh , <size> large </size> <pizza_type> pepperoni </pizza_type> , a <size> small </size> <pizza_type> veggie supreme </pizza_type> , uh gosh , what does Linda want ? Um , A medium Meat Lovers , uh but extra <topping> pineapple </topping> on it . And , uh , <numeric> two four </numeric> cheeses , both large .
Spoken 5	Clerk	Okay , let me just repeat that back to you , make sure I got everything . Um , so I have a <size> large </size> <pizza_type> pepperoni </pizza_type> , a <size> small </size> <pizza_type> vegan supreme </pizza_type> , a <size> medium </size> Meat Lovers with <topping> extra pineapple </topping> , and <quant> two </quant> <size> large </size> <pizza_type> four </pizza_type> cheeses , is that all correct ?
Spoken 5	User	Could I get , uh , so I need these for Friday , um , like , when do you make â€�em ?
Spoken 5	Clerk	If you want them for Friday , we can make them the day of and if you just tell us what time that you want to pick them up , or if you want us to del- deliver them to you , we can have , make them fresh for that time .
Spoken 5	User	They 'll be fresh , okay , that was my question . Um , hmm , so do you all deliver ?
Spoken 5	Clerk	Yes , we have <modality> delivery </modality> , and we have <modality> pickup </modality> . Um , pickup is free , and delivery is <numeric> three </numeric> dollars .
Spoken 5	User	Okay , um , if someone has an allergy , like , they 're allergic to like , <topping> onions </topping> or something , um , like , you guys are good about that ? Like , uh , you know , you guys will just like , it should be safe ? They 'll be fine ?
Spoken 5	Clerk	Um , so would , is the person with the onion allergy , uh , are they planning on eating the <pizza_type> veggie supreme </pizza_type> pizza , or are , are the other pizzas , one of the other pizzas gon na be for them ?
Spoken 5	User	They wo n't , yeah , they 're not gon na have with <topping> actual onions </topping> in it but , like , they should n't be worried about like , trace amounts , or like ?
Spoken 5	Clerk	Oh , yes .
Spoken 5	User	Other pizzas .
Spoken 5	Clerk	They should n't be worried . As long as they do n't eat the Veggie Supreme pizza .
Spoken 5	User	Okay .
Spoken 5	Clerk	Or the vegan pizza , but I do n't think you ordered that one .
Spoken 5	User	Okay , um , uh , what else did I need , um , and then could I also get <address> five bread stick and six cheese </address> sticks , um , and then four of just , or just like one of each soda I guess , or four of the best sodas ? Do four of the best . Surprise me .
Spoken 5	Clerk	Okay , um , and let me just repeat all that back to you too . I just want to make sure we have your order correct . You said <address> five bread sticks , six cheese </address> sticks , and you 'd like four of the best sodas . So , when you say that , do you want , uh just the ones people order the most often ?
Spoken 5	User	Sure , surprise me , yeah . That works .
Spoken 5	Clerk	Okay . So a random combination . Um
Spoken 5	User	Yeah . Why not , why not ?
Spoken 5	Clerk	Um , mineral water , I do n't know if you want that to be included , because it 's not technically a soda .
Spoken 5	User	No , no , no .
Spoken 5	Clerk	Okay .
Spoken 5	User	It 's mineral water , not soda .
Spoken 5	Clerk	Okay , so then all of the other beverages each cost 3.50 , so
Spoken 5	User	Those are fine , yep .
Spoken 5	Clerk	Okay , um , so now , is that everything , or is there more ?
Spoken 5	User	Um , that 's good .
Spoken 5	Clerk	Okay .
Spoken 5	User	No , we 're good .
Spoken 5	Clerk	For , for the pizzas , what kind of crust did you want ? We have thin , regular , deep dish , and gluten-free .
Spoken 5	User	Um , like what 's the difference ?
Spoken 5	Clerk	So , thin is the thinnest crust , um , it 's , it 's very thin . Um , it 's more crunchy than the other crusts . Regular is probably just , you know , like whatever comes to mind when you normally think of pizza , deep dish , is a , an especially thick crust , and uh yeah , and then the gluten-free is regular but it just does n't have any gluten in it .
Spoken 5	User	Uh , regular , all of them .
Spoken 5	Clerk	Okay , um , so now , I can repeat your whole order back to you , is that okay ?
Spoken 5	User	Go for it .
Spoken 5	Clerk	Okay , so you wanted one um , <size> large </size> <pizza_type> pepperoni </pizza_type> , <quant> one </quant> <size> small </size> <pizza_type> vegan supreme </pizza_type> , and these are all regular , um , <quant> one </quant> <size> medium </size> <pizza_type> meat lovers </pizza_type> with <topping> extra pineapple </topping> , um , so actually meat lovers does n't have <topping> pineapple </topping> , do you just want me to add <topping> pineapple </topping> to that ?
Spoken 5	User	That would be , yeah .
Spoken 5	Clerk	Okay .
Spoken 5	User	What I asked for .
Spoken 5	Clerk	So then , um , <quant> two </quant> <pizza_type> four cheese </pizza_type> , <pizza_type> four cheese </pizza_type> pizzas , and they 're both large , and also regular , and you have <address> five bread sticks , six cheese </address> sticks , and four random drinks , um , that are n't mineral water . Is that everything ?
Spoken 5	User	That all sounds fine . It sounds , it sounds like it 'll be good . It 's not my credit card .
Spoken 5	Clerk	Okay , um , yeah , so do you want me to tell you your total ?
Spoken 5	User	No , I do n't need to know . It 's good .
Spoken 5	Clerk	Okay . Um , and , so , did you want this pickup or delivery ?
Spoken 5	User	Do you deliver to like , if we had a party , you could just bring it all , I do n't have to come get it ?
Spoken 5	Clerk	Do we deliver to where ?
Spoken 5	User	Like parties .
Spoken 5	Clerk	Oh to parties . Yeah , we deliver anywhere within a five mile radius .
Spoken 5	User	If we 're like , like is <numeric> 5.5 </numeric> miles doable ? You know , since it 's such a big order ?
Spoken 5	Clerk	Yeah , we , we , we can bend the rules a little bit for that , especially since it 's such a <size> large </size> order , we like to reward our CUSTOMERs .
Spoken 5	User	Neat . Well it sounds good . Anything , am I good ? Can I go ? I got stuff to do , you know .
Spoken 5	Clerk	And do you want to pay for it now , or later ?
Spoken 5	User	Uh , I 'll pay for it later .
Spoken 5	Clerk	Okay .
Spoken 5	User	Later 's fine .
Spoken 5	Clerk	Then , uh , we just need your address .
Spoken 5	User	Uh , 123 Elm Street .
Spoken 5	Clerk	Okay . That 's <numeric> 123 </numeric> Elm Street ?
Spoken 5	User	Yeah .
Spoken 5	Clerk	Okay . Thank you for ordering from Tony 's Authentic Italian Pizzeria .
Spoken 5	User	Cool . Bye .
Spoken 6	Clerk	Hi this is Tony 's Pizza . I 'm Emily I 'm a new employee today and I'm-I 'm an employee in training , how can i help you ?
Spoken 6	User	Employee in training I love that oh that 's so good for you okay I 'll go easy on you today . Um I need a <size> large </size> <pizza_type> pepperoni </pizza_type> pizza uh I usually go with <crust> thin </crust> but like uh but deep dish but I-I could change it up no lets go with <crust> regular </crust> go with <crust> regular </crust> . Um uh <address> 2 cheese sticks 4 oranges and </address>
Spoken 6	Clerk	Right Hold on hold on hold on what was what was the pizza sorry I 'm just I 'm just new to writing these orders down ( ah right ) and I 'm keeping up today sorry
Spoken 6	User	Alright no worries . Um was a oh gosh large -- not <pizza_type> 4 cheese </pizza_type> -- <pizza_type> pepperoni </pizza_type> ! <pizza_type> Large pepperoni </pizza_type> is our usual
Spoken 6	Clerk	Okay okay . Um then so what else you said you wanted 4 oranges is that soda ?
Spoken 6	User	Yeah , yeah the the the orange soda um
Spoken 6	Clerk	Okay okay
Spoken 6	Clerk	And then cheese sticks um that 's what you said right not bread sticks ?
Spoken 6	User	Oh you know what ? Jeremy 's gon na want bread sticks um , get em for Jeremy . <address> Um 1 of bread sticks eh 2 bread sticks 2 cheese sticks </address>
Spoken 6	Clerk	Okay and so bread sticks are 7 dollars um I , I heard that earlier today but I just do n't remember how much the <pizza_type> cheese </pizza_type> sticks cost do you remember ?
Spoken 6	User	Uhhh they 're usually ... they 're a little more they 're <numeric> 9 </numeric>
Spoken 6	Clerk	Okay okay so so 7 , 7 , 9 and 9 , that 's gon na be , hold on I 'm new to math I this is my first job ever I 'm so sorry
Spoken 6	User	Awwwwww take your time
Spoken 6	Clerk	Um thank you so much . Okay um I think that 's gon na be 32 dollars do you know if that 's right ? ( uhhhh ) That 's just that 's just for the sides um so that 's not even the pizza ( uh so that 's ) so I just wan na confirm
Spoken 6	User	Uh that 's 4 sodas so thats <numeric> 14 </numeric>
Spoken 6	Clerk	[ interrupt ] no i yeah I that was just the sides ( and then ) I did n't write down the sodas yet I 'm sorry
Spoken 6	User	2 bread and <address> 2 cheese so thats 14 and 18 uhhh lem </address> me get my calculator it 's been a long time for math me too
Spoken 6	Clerk	Yeah sorry the register 's just broken today and it 's my first day I just I just
Spoken 6	User	Oh you poor dear oh no okay 14 uhh it 's about 40 . Yeah it 's like 40 dollars
Spoken 6	Clerk	But and for the for the sides ? Or is that the drinks and the pizzas too ?
Spoken 6	User	That 's the sides and the drinks .
Spoken 6	Clerk	Okay and that was 4 orange sodas , right ?
Spoken 6	User	Yeah [ <address> 5 second pause ] </address>
Spoken 6	User	Hello ?
Spoken 6	Clerk	Yeah ?
Spoken 6	User	Oh okay sorry thought I lost you
Spoken 6	Clerk	That was that was 4 orange orange sodas , right ?
Spoken 6	User	Yeah
Spoken 6	Clerk	Okay okay . And and how much -- do you know how much those cost ?
Spoken 6	User	Uh usually get <quant> two </quant> and its 7 so whatever that works out to be
Spoken 6	Clerk	Okay so then so then 4 would be 14 right ? ( mhm ) Earlier earlier I 'm pretty sure the sides are 32 dollars and and the orange sodas if it 's if it 's four-fourteen for 4 of them that had to be more than 40 dollars right ?
